HCPC,ProcGRP,csc,atg,atg_priority,procgrp_intensity,hcpcs_intensity,imputed_rel_wgt,status_ind,procgrp_ver,release
"27381","4480",ORTHO,SURG MAJOR,1,33.01625298,6740000.229,67.4,J1,2016,2
"27385","4480",ORTHO,SURG MAJOR,1,33.01625298,3249000.165,32.49,T,2016,2
"27386","4480",ORTHO,SURG MAJOR,1,33.01625298,6740000.239,67.4,J1,2016,2
"27390","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.129,32.49,T,2016,2
"27391","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.166,32.49,T,2016,2
"27392","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.205,32.49,T,2016,2
"27393","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.145,32.49,T,2016,2
"27394","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.182,32.49,T,2016,2
"27395","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.254,32.49,T,2016,2
"27396","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.178,32.49,T,2016,2
"27397","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.261,32.49,T,2016,2
"27400","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.201,32.49,T,2016,2
"27403","3430",ORTHO,SURG MAJOR,1,53.93133342,1973000.184,19.73,T,2016,2
"27405","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.194,32.49,T,2016,2
"27407","3430",ORTHO,SURG MAJOR,1,53.93133342,6740000.226,67.4,J1,2016,2
"27409","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.275,32.49,T,2016,2
"27412","3430",ORTHO,SURG MAJOR,1,53.93133342,6740000.48,67.4,J1,2016,2
"27415","3430",ORTHO,SURG MAJOR,1,53.93133342,9581000.397,95.81,J1,2016,2
"27416","3430",ORTHO,SURG MAJOR,1,53.93133342,6740000.283,67.4,J1,2016,2
"27418","4480",ORTHO,SURG MAJOR,1,33.01625298,6740000.239,67.4,J1,2016,2
"27420","4480",ORTHO,SURG MAJOR,1,33.01625298,6740000.214,67.4,J1,2016,2
"27422","4480",ORTHO,SURG MAJOR,1,33.01625298,3249000.214,32.49,T,2016,2
"27424","4480",ORTHO,SURG MAJOR,1,33.01625298,3249000.216,32.49,T,2016,2
"27425","4480",ORTHO,SURG MAJOR,1,33.01625298,3249000.129,32.49,T,2016,2
"27427","4480",ORTHO,SURG MAJOR,1,33.01625298,6740000.205,67.4,J1,2016,2
"27428","4480",ORTHO,SURG MAJOR,1,33.01625298,9581000.321,95.81,J1,2016,2
"27429","3430",ORTHO,SURG MAJOR,1,53.93133342,9581000.358,95.81,J1,2016,2
"27430","4480",ORTHO,SURG MAJOR,1,33.01625298,3249000.213,32.49,T,2016,2
"27435","4480",ORTHO,SURG MAJOR,1,33.01625298,3249000.231,32.49,T,2016,2
"27437","0370",ORTHO,SURG MAJOR,1,31.46664809,9581000.19,95.81,J1,2016,2
"27438","0370",ORTHO,SURG MAJOR,1,31.46664809,14293000.24,142.93,J1,2016,2
"27440","0370",ORTHO,SURG MAJOR,1,31.46664809,14293000.23,142.93,J1,2016,2
"27441","0370",ORTHO,SURG MAJOR,1,31.46664809,14293000.24,142.93,J1,2016,2
"27442","0370",ORTHO,SURG MAJOR,1,31.46664809,14293000.25,142.93,J1,2016,2
"27443","0370",ORTHO,SURG MAJOR,1,31.46664809,9581000.233,95.81,J1,2016,2
"27445","0370",ORTHO,SURG MAJOR,1,31.46664809,3542110.361,35.4211,C,2016,2
"27446","0370",ORTHO,SURG MAJOR,1,31.46664809,14293000.33,142.93,J1,2016,2
"27447","0370",ORTHO,SURG MAJOR,1,31.46664809,2452710.392,24.5271,C,2016,2
"27448","3430",ORTHO,SURG MAJOR,1,53.93133342,3009520.221,30.0952,C,2016,2
"27450","3430",ORTHO,SURG MAJOR,1,53.93133342,3967280.291,39.6728,C,2016,2
"27454","3430",ORTHO,SURG MAJOR,1,53.93133342,5134850.377,51.3485,C,2016,2
"27455","3430",ORTHO,SURG MAJOR,1,53.93133342,3709790.272,37.0979,C,2016,2
"27457","3430",ORTHO,SURG MAJOR,1,53.93133342,3708430.272,37.0843,C,2016,2
"27465","3430",ORTHO,SURG MAJOR,1,53.93133342,4846020.356,48.4602,C,2016,2
"27466","3430",ORTHO,SURG MAJOR,1,53.93133342,4611690.339,46.1169,C,2016,2
"27468","3430",ORTHO,SURG MAJOR,1,53.93133342,4852830.356,48.5283,C,2016,2
"27470","3430",ORTHO,SURG MAJOR,1,53.93133342,4625310.34,46.2531,C,2016,2
"27472","3430",ORTHO,SURG MAJOR,1,53.93133342,4970000.365,49.7,C,2016,2
"27475","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.191,32.49,T,2016,2
"27477","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.211,32.49,T,2016,2
"27479","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.227,32.49,T,2016,2
"27485","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.194,32.49,T,2016,2
"27486","0370",ORTHO,SURG MAJOR,1,31.46664809,2147690.406,21.4769,C,2016,2
"27487","0370",ORTHO,SURG MAJOR,1,31.46664809,3280180.507,32.8018,C,2016,2
"27488","0370",ORTHO,SURG MAJOR,1,31.46664809,4726130.347,47.2613,C,2016,2
"27495","4480",ORTHO,SURG MAJOR,1,33.01625298,4438670.326,44.3867,C,2016,2
"27496","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.156,32.49,T,2016,2
"27497","3430",ORTHO,SURG MAJOR,1,53.93133342,1973000.167,19.73,T,2016,2
"27498","3430",ORTHO,SURG MAJOR,1,53.93133342,1973000.186,19.73,T,2016,2
"27499","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.202,32.49,T,2016,2
"27500","3285",ORTHO,MEDIC THER,5,5.507540045,322000.1497,3.22,T,2016,2
"27501","3285",ORTHO,MEDIC THER,5,5.507540045,322000.1453,3.22,T,2016,2
"27502","3285",ORTHO,MEDIC THER,5,5.507540045,1487000.224,14.87,T,2016,2
"27503","3285",ORTHO,MEDIC THER,5,5.507540045,1487000.232,14.87,T,2016,2
"27506","1650",ORTHO,INPATIENT,1,52.51389307,7022720.387,70.2272,C,2016,2
"27507","1650",ORTHO,INPATIENT,1,52.51389307,3825590.281,38.2559,C,2016,2
"27508","3285",ORTHO,MEDIC THER,5,5.507540045,322000.1516,3.22,T,2016,2
"27509","3430",ORTHO,SURG MAJOR,1,53.93133342,6740000.185,67.4,J1,2016,2
"27510","3285",ORTHO,MEDIC THER,5,5.507540045,1487000.199,14.87,T,2016,2
"27511","1650",ORTHO,INPATIENT,1,52.51389307,3929130.288,39.2913,C,2016,2
"27513","1650",ORTHO,INPATIENT,1,52.51389307,4890980.359,48.9098,C,2016,2
"27514","1650",ORTHO,INPATIENT,1,52.51389307,3811970.28,38.1197,C,2016,2
"27516","3285",ORTHO,MEDIC THER,5,5.507540045,233000.1463,2.33,T,2016,2
"27517","3285",ORTHO,MEDIC THER,5,5.507540045,1487000.194,14.87,T,2016,2
"27519","3430",ORTHO,SURG MAJOR,1,53.93133342,3520420.258,35.2042,C,2016,2
"27520","3285",ORTHO,MEDIC THER,5,5.507540045,233000.0926,2.33,T,2016,2
"27524","4480",ORTHO,SURG MAJOR,1,33.01625298,3249000.217,32.49,T,2016,2
"27530","3285",ORTHO,MEDIC THER,5,5.507540045,233000.0866,2.33,T,2016,2
"27532","3285",ORTHO,MEDIC THER,5,5.507540045,1487000.177,14.87,T,2016,2
"27535","4480",ORTHO,SURG MAJOR,1,33.01625298,3536760.26,35.3676,C,2016,2
"27536","4480",ORTHO,SURG MAJOR,1,33.01625298,4686620.344,46.8662,C,2016,2
"27538","3285",ORTHO,MEDIC THER,5,5.507540045,322000.1357,3.22,T,2016,2
"27540","3430",ORTHO,SURG MAJOR,1,53.93133342,3182540.234,31.8254,C,2016,2
"27550","4650",EM,MEDIC THER,5,2.404984098,322000.1462,3.22,T,2016,2
"27552","3285",ORTHO,MEDIC THER,5,5.507540045,1487000.181,14.87,T,2016,2
"27556","3430",ORTHO,SURG MAJOR,1,53.93133342,3444120.253,34.4412,C,2016,2
"27557","3430",ORTHO,SURG MAJOR,1,53.93133342,4140300.304,41.403,C,2016,2
"27558","3430",ORTHO,SURG MAJOR,1,53.93133342,4700250.345,47.0025,C,2016,2
"27560","3285",ORTHO,MEDIC THER,5,5.507540045,233000.1042,2.33,T,2016,2
"27562","3285",ORTHO,MEDIC THER,5,5.507540045,322000.1352,3.22,T,2016,2
"27566","4480",ORTHO,SURG MAJOR,1,33.01625298,3249000.258,32.49,T,2016,2
"27570","4480",ORTHO,SURG MAJOR,1,33.01625298,1487000.044,14.87,T,2016,2
"27580","3430",ORTHO,SURG MAJOR,1,53.93133342,5653920.415,56.5392,C,2016,2
"27590","0095",GEN SURG,INPATIENT,1,31.7559293,3194800.235,31.948,C,2016,2
"27591","0095",GEN SURG,INPATIENT,1,31.7559293,3803790.279,38.0379,C,2016,2
"27592","0095",GEN SURG,INPATIENT,1,31.7559293,2712520.199,27.1252,C,2016,2
"27594","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.148,32.49,T,2016,2
"27596","3430",ORTHO,SURG MAJOR,1,53.93133342,2871920.211,28.7192,C,2016,2
"27598","0095",GEN SURG,INPATIENT,1,31.7559293,2867830.211,28.6783,C,2016,2
"27599","3430",ORTHO,SURG MAJOR,1,53.93133342,233000.13,2.33,T,2016,2
"27600","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.121,32.49,T,2016,2
"27601","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.127,32.49,T,2016,2
"27602","2475",ORTHO,SURG MAJOR,1,59.12706591,1973000.145,19.73,T,2016,2
"27603","2475",ORTHO,SURG MAJOR,1,59.12706591,1918000.152,19.18,T,2016,2
"27604","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.142,32.49,T,2016,2
"27605","2475",ORTHO,SURG MAJOR,1,59.12706591,1973000.098,19.73,T,2016,2
"27606","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.081,32.49,T,2016,2
"27607","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.175,32.49,T,2016,2
"27610","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.188,32.49,T,2016,2
"27612","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.16,32.49,T,2016,2
"27613","0545",DERMATOLOGY,INVAS MINOR,3,13.55207022,1277000.072,12.77,T,2016,2
"27614","0540",GEN SURG,INVAS MAJOR,1,18.18502115,1918000.165,19.18,T,2016,2
"27615","4035",GEN SURG,SURG MAJOR,1,23.11186174,1918000.297,19.18,T,2016,2
"27616","4035",GEN SURG,SURG MAJOR,1,23.11186174,1918000.369,19.18,T,2016,2
"27618","1510",GEN SURG,SURG MAJOR,1,19.18,1918000.129,19.18,T,2016,2
"27619","1510",GEN SURG,SURG MAJOR,1,19.18,1918000.136,19.18,T,2016,2
"27620","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.131,32.49,T,2016,2
"27625","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.169,32.49,T,2016,2
"27626","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.178,32.49,T,2016,2
"27630","2475",ORTHO,SURG MAJOR,1,59.12706591,1973000.161,19.73,T,2016,2
"27632","1510",GEN SURG,SURG MAJOR,1,19.18,1918000.12,19.18,T,2016,2
"27634","1510",GEN SURG,SURG MAJOR,1,19.18,1918000.199,19.18,T,2016,2
"27635","1500",ORTHO,SURG MAJOR,1,36.08241079,3249000.169,32.49,T,2016,2
"27637","1500",ORTHO,SURG MAJOR,1,36.08241079,6740000.215,67.4,J1,2016,2
"27638","3430",ORTHO,SURG MAJOR,1,53.93133342,6740000.22,67.4,J1,2016,2
"27640","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.241,32.49,T,2016,2
"27641","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.193,32.49,T,2016,2
"27645","4035",GEN SURG,SURG MAJOR,1,23.11186174,7012220.515,70.1222,C,2016,2
"27646","4035",GEN SURG,SURG MAJOR,1,23.11186174,6078980.446,60.7898,C,2016,2
"27647","4035",GEN SURG,SURG MAJOR,1,23.11186174,1973000.295,19.73,T,2016,2
"27648","2050",DIAG RAD,RAD DIAG,5,0,0.0468,0,N,2016,2
"27650","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.19,32.49,T,2016,2
"27652","2475",ORTHO,SURG MAJOR,1,59.12706591,6740000.197,67.4,J1,2016,2
"27654","2475",ORTHO,SURG MAJOR,1,59.12706591,6740000.203,67.4,J1,2016,2
"27656","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.183,32.49,T,2016,2
"27658","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.107,32.49,T,2016,2
"27659","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.138,32.49,T,2016,2
"27664","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.104,32.49,T,2016,2
"27665","2475",ORTHO,SURG MAJOR,1,59.12706591,6740000.118,67.4,J1,2016,2
"27675","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.14,32.49,T,2016,2
"27676","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.174,32.49,T,2016,2
"27680","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.123,32.49,T,2016,2
"27681","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.157,32.49,T,2016,2
"27685","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.19,32.49,T,2016,2
"27686","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.161,32.49,T,2016,2
"27687","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.131,32.49,T,2016,2
"27690","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.181,32.49,T,2016,2
"27691","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.216,32.49,T,2016,2
"27692","2480",ORTHO,ADDITIONAL,9,0,0.0302,0,N,2016,2
"27695","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.135,32.49,T,2016,2
"27696","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.16,32.49,T,2016,2
"27698","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.184,32.49,T,2016,2
"27700","3430",ORTHO,SURG MAJOR,1,53.93133342,6740000.171,67.4,J1,2016,2
"27702","3430",ORTHO,SURG MAJOR,1,53.93133342,3799710.279,37.9971,C,2016,2
"27703","3430",ORTHO,SURG MAJOR,1,53.93133342,4366460.321,43.6646,C,2016,2
"27704","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.167,32.49,Q2,2016,2
"27705","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.218,32.49,T,2016,2
"27707","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.117,32.49,T,2016,2
"27709","3430",ORTHO,SURG MAJOR,1,53.93133342,9581000.337,95.81,J1,2016,2
"27712","3430",ORTHO,SURG MAJOR,1,53.93133342,4344660.319,43.4466,C,2016,2
"27715","3430",ORTHO,SURG MAJOR,1,53.93133342,4227500.31,42.275,C,2016,2
"27720","3430",ORTHO,SURG MAJOR,1,53.93133342,6740000.253,67.4,J1,2016,2
"27722","3430",ORTHO,SURG MAJOR,1,53.93133342,9581000.254,95.81,J1,2016,2
"27724","3430",ORTHO,SURG MAJOR,1,53.93133342,4978170.365,49.7817,C,2016,2
"27725","3430",ORTHO,SURG MAJOR,1,53.93133342,4746570.348,47.4657,C,2016,2
"27726","3430",ORTHO,SURG MAJOR,1,53.93133342,6740000.28,67.4,J1,2016,2
"27727","3430",ORTHO,SURG MAJOR,1,53.93133342,4091260.3,40.9126,C,2016,2
"27730","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.165,32.49,T,2016,2
"27732","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.117,32.49,T,2016,2
"27734","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.19,32.49,T,2016,2
"27740","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.205,32.49,T,2016,2
"27742","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.226,32.49,T,2016,2
"27745","3430",ORTHO,SURG MAJOR,1,53.93133342,9581000.218,95.81,J1,2016,2
"27750","2470",ORTHO,MEDIC THER,5,4.374445728,322000.0994,3.22,T,2016,2
"27752","2470",ORTHO,MEDIC THER,5,4.374445728,1487000.155,14.87,T,2016,2
"27756","2475",ORTHO,SURG MAJOR,1,59.12706591,6740000.165,67.4,J1,2016,2
"27758","2475",ORTHO,SURG MAJOR,1,59.12706591,9581000.257,95.81,J1,2016,2
"27759","2475",ORTHO,SURG MAJOR,1,59.12706591,9581000.289,95.81,J1,2016,2
"27760","2470",ORTHO,MEDIC THER,5,4.374445728,233000.0957,2.33,T,2016,2
"27762","2470",ORTHO,MEDIC THER,5,4.374445728,1487000.137,14.87,T,2016,2
"27766","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.176,32.49,T,2016,2
"27767","2470",ORTHO,MEDIC THER,5,4.374445728,322000.0804,3.22,T,2016,2
"27768","2470",ORTHO,MEDIC THER,5,4.374445728,1487000.127,14.87,T,2016,2
"27769","2475",ORTHO,SURG MAJOR,1,59.12706591,6740000.212,67.4,J1,2016,2
"27780","2470",ORTHO,MEDIC THER,5,4.374445728,233000.0878,2.33,T,2016,2
"27781","2470",ORTHO,MEDIC THER,5,4.374445728,1487000.121,14.87,T,2016,2
"27784","2475",ORTHO,SURG MAJOR,1,59.12706591,6740000.207,67.4,J1,2016,2
"27786","2470",ORTHO,MEDIC THER,5,4.374445728,322000.0908,3.22,T,2016,2
"27788","2470",ORTHO,MEDIC THER,5,4.374445728,322000.1211,3.22,T,2016,2
"27792","2475",ORTHO,SURG MAJOR,1,59.12706591,6740000.189,67.4,J1,2016,2
"27808","2470",ORTHO,MEDIC THER,5,4.374445728,233000.0959,2.33,T,2016,2
"27810","2470",ORTHO,MEDIC THER,5,4.374445728,1487000.135,14.87,T,2016,2
"27814","2475",ORTHO,SURG MAJOR,1,59.12706591,6740000.223,67.4,J1,2016,2
"27816","2470",ORTHO,MEDIC THER,5,4.374445728,322000.0919,3.22,T,2016,2
"27818","2470",ORTHO,MEDIC THER,5,4.374445728,1487000.139,14.87,T,2016,2
"27822","2475",ORTHO,SURG MAJOR,1,59.12706591,6740000.243,67.4,J1,2016,2
"27823","2475",ORTHO,SURG MAJOR,1,59.12706591,9581000.276,95.81,J1,2016,2
"27824","2470",ORTHO,MEDIC THER,5,4.374445728,322000.0901,3.22,T,2016,2
"27825","2470",ORTHO,MEDIC THER,5,4.374445728,1487000.156,14.87,T,2016,2
"27826","2475",ORTHO,SURG MAJOR,1,59.12706591,6740000.241,67.4,J1,2016,2
"27827","2475",ORTHO,SURG MAJOR,1,59.12706591,9581000.312,95.81,J1,2016,2
"27828","2475",ORTHO,SURG MAJOR,1,59.12706591,9581000.374,95.81,J1,2016,2
"27829","2475",ORTHO,SURG MAJOR,1,59.12706591,3249000.197,32.49,T,2016,2
"27830","2470",ORTHO,MEDIC THER,5,4.374445728,233000.1093,2.33,T,2016,2
"27831","2470",ORTHO,MEDIC THER,5,4.374445728,1487000.113,14.87,T,2016,2
"27832","2475",ORTHO,SURG MAJOR,1,59.12706591,6740000.219,67.4,J1,2016,2
"27840","4650",EM,MEDIC THER,5,2.404984098,233000.1053,2.33,T,2016,2
"27842","2470",ORTHO,MEDIC THER,5,4.374445728,1487000.143,14.87,T,2016,2
"27846","2470",ORTHO,MEDIC THER,5,4.374445728,3249000.209,32.49,T,2016,2
"27848","2470",ORTHO,MEDIC THER,5,4.374445728,3249000.234,32.49,T,2016,2
"27860","2475",ORTHO,SURG MAJOR,1,59.12706591,1487000.05,14.87,T,2016,2
"27870","2475",ORTHO,SURG MAJOR,1,59.12706591,14293000.3,142.93,J1,2016,2
"27871","3430",ORTHO,SURG MAJOR,1,53.93133342,9581000.197,95.81,J1,2016,2
"27880","0090",GEN SURG,INPATIENT,1,35.23915068,3652570.268,36.5257,C,2016,2
"27881","0090",GEN SURG,INPATIENT,1,35.23915068,3459110.254,34.5911,C,2016,2
"27882","0090",GEN SURG,INPATIENT,1,35.23915068,2393720.176,23.9372,C,2016,2
"27884","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.168,32.49,T,2016,2
"27886","3430",ORTHO,SURG MAJOR,1,53.93133342,2621240.192,26.2124,C,2016,2
"27888","3430",ORTHO,SURG MAJOR,1,53.93133342,2704340.199,27.0434,C,2016,2
"27889","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.19,32.49,T,2016,2
"27892","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.16,32.49,T,2016,2
"27893","3430",ORTHO,SURG MAJOR,1,53.93133342,3249000.175,32.49,T,2016,2
"27894","3430",ORTHO,SURG MAJOR,1,53.93133342,1973000.249,19.73,T,2016,2
"27899","2475",ORTHO,SURG MAJOR,1,59.12706591,233000.0498,2.33,T,2016,2
"28001","1620",PODIATRY,SURG MAJOR,1,26.19176291,1277000.08,12.77,T,2016,2
"28002","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.128,19.73,T,2016,2
"28003","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.205,19.73,T,2016,2
"28005","1620",PODIATRY,SURG MAJOR,1,26.19176291,3249000.167,32.49,T,2016,2
"28008","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.124,19.73,T,2016,2
"28010","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.066,19.73,T,2016,2
"28011","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.092,19.73,T,2016,2
"28020","1620",PODIATRY,SURG MAJOR,1,26.19176291,3249000.156,32.49,T,2016,2
"28022","1620",PODIATRY,SURG MAJOR,1,26.19176291,3249000.142,32.49,T,2016,2
"28024","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.134,19.73,T,2016,2
"28030","1620",PODIATRY,SURG MAJOR,1,26.19176291,1732030.105,17.3203,T,2016,2
"28035","1620",PODIATRY,SURG MAJOR,1,26.19176291,1888000.152,18.88,T,2016,2
"28039","1510",GEN SURG,SURG MAJOR,1,19.18,1918000.148,19.18,T,2016,2
"28041","1510",GEN SURG,SURG MAJOR,1,19.18,1918000.133,19.18,T,2016,2
"28043","1510",GEN SURG,SURG MAJOR,1,19.18,1918000.115,19.18,T,2016,2
"28045","1510",GEN SURG,SURG MAJOR,1,19.18,1918000.143,19.18,T,2016,2
"28046","4035",GEN SURG,SURG MAJOR,1,23.11186174,1918000.21,19.18,T,2016,2
"28047","4035",GEN SURG,SURG MAJOR,1,23.11186174,1918000.31,19.18,T,2016,2
"28050","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.123,19.73,T,2016,2
"28052","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.132,19.73,T,2016,2
"28054","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.114,19.73,T,2016,2
"28055","1620",PODIATRY,SURG MAJOR,1,26.19176291,1888000.108,18.88,T,2016,2
"28060","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.15,19.73,T,2016,2
"28062","1620",PODIATRY,SURG MAJOR,1,26.19176291,3249000.17,32.49,T,2016,2
"28070","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.153,19.73,T,2016,2
"28072","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.147,19.73,T,2016,2
"28080","1505",PODIATRY,SURG MAJOR,1,20.40908667,1973000.152,19.73,T,2016,2
"28086","1505",PODIATRY,SURG MAJOR,1,20.40908667,3249000.158,32.49,T,2016,2
"28088","1505",PODIATRY,SURG MAJOR,1,20.40908667,1973000.129,19.73,T,2016,2
"28090","1505",PODIATRY,SURG MAJOR,1,20.40908667,1973000.136,19.73,T,2016,2
"28092","1505",PODIATRY,SURG MAJOR,1,20.40908667,1973000.122,19.73,T,2016,2
"28100","1505",PODIATRY,SURG MAJOR,1,20.40908667,3249000.175,32.49,T,2016,2
"28102","1505",PODIATRY,SURG MAJOR,1,20.40908667,6740000.175,67.4,J1,2016,2
"28103","1505",PODIATRY,SURG MAJOR,1,20.40908667,6740000.113,67.4,J1,2016,2
"28104","1505",PODIATRY,SURG MAJOR,1,20.40908667,1973000.153,19.73,T,2016,2
"28106","1505",PODIATRY,SURG MAJOR,1,20.40908667,3249000.134,32.49,T,2016,2
"28107","1505",PODIATRY,SURG MAJOR,1,20.40908667,6740000.163,67.4,J1,2016,2
"28108","1505",PODIATRY,SURG MAJOR,1,20.40908667,1973000.127,19.73,T,2016,2
"28110","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.134,19.73,T,2016,2
"28111","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.143,19.73,T,2016,2
"28112","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.14,19.73,T,2016,2
"28113","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.171,19.73,T,2016,2
"28114","1620",PODIATRY,SURG MAJOR,1,26.19176291,3249000.311,32.49,T,2016,2
"28116","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.218,19.73,T,2016,2
"28118","1620",PODIATRY,SURG MAJOR,1,26.19176291,3249000.171,32.49,T,2016,2
"28119","1620",PODIATRY,SURG MAJOR,1,26.19176291,3249000.152,32.49,T,2016,2
"28120","1620",PODIATRY,SURG MAJOR,1,26.19176291,3249000.194,32.49,T,2016,2
"28122","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.173,19.73,T,2016,2
"28124","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.138,19.73,T,2016,2
"28126","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.114,19.73,T,2016,2
"28130","1620",PODIATRY,SURG MAJOR,1,26.19176291,3249000.185,32.49,T,2016,2
"28140","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.173,19.73,T,2016,2
"28150","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.124,19.73,T,2016,2
"28153","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.118,19.73,T,2016,2
"28160","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.121,19.73,T,2016,2
"28171","4035",GEN SURG,SURG MAJOR,1,23.11186174,1973000.245,19.73,T,2016,2
"28173","4035",GEN SURG,SURG MAJOR,1,23.11186174,1973000.221,19.73,T,2016,2
"28175","4035",GEN SURG,SURG MAJOR,1,23.11186174,1973000.141,19.73,T,2016,2
"28190","4077",PODIATRY,SURG MAJOR,1,13.86834542,1277000.074,12.77,T,2016,2
"28192","4077",PODIATRY,SURG MAJOR,1,13.86834542,1918000.137,19.18,T,2016,2
"28193","4077",PODIATRY,SURG MAJOR,1,13.86834542,1918000.153,19.18,T,2016,2
"28200","1620",PODIATRY,SURG MAJOR,1,26.19176291,3249000.142,32.49,T,2016,2
"28202","1620",PODIATRY,SURG MAJOR,1,26.19176291,6740000.173,67.4,J1,2016,2
"28208","1620",PODIATRY,SURG MAJOR,1,26.19176291,3249000.138,32.49,T,2016,2
"28210","1620",PODIATRY,SURG MAJOR,1,26.19176291,6740000.165,67.4,J1,2016,2
"28220","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.129,19.73,T,2016,2
"28222","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.146,19.73,T,2016,2
"28225","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.117,19.73,T,2016,2
"28226","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.176,19.73,T,2016,2
"28230","1620",PODIATRY,SURG MAJOR,1,26.19176291,1973000.124,19.73,T,2016,2
