"ProcedureName","ProcedureGroup","atg","acg","hcpcs","cpttitle"
"Dental","1150","DENTAL","DENTAL","D7680","Facial bones - complicated reduction with fixation and multiple surgical approaches"
"Dental","1150","DENTAL","DENTAL","D7710","Maxilla open reduction"
"Dental","1150","DENTAL","DENTAL","D7720","Maxilla - closed reduction"
"Dental","1150","DENTAL","DENTAL","D7730","Mandible - open reduction"
"Dental","1150","DENTAL","DENTAL","D7740","Mandible - closed reduction"
"Dental","1150","DENTAL","DENTAL","D7750","Malar and/or zygomatic arch - open reduction"
"Dental","1150","DENTAL","DENTAL","D7760","Malar and/or zygomatic arch - closed reduction"
"Dental","1150","DENTAL","DENTAL","D7770","Alveolus - open reduction stabilization of teeth"
"Dental","1150","DENTAL","DENTAL","D7771","Alveolus, closed reduction stabilization of teeth"
"Dental","1150","DENTAL","DENTAL","D7780","Facial bones - complicated reduction with fixation and multiple surgical approaches"
"Dental","1150","DENTAL","DENTAL","D7810","Open reduction of dislocation"
"Dental","1150","DENTAL","DENTAL","D7820","Closed reduction of dislocation"
"Dental","1150","DENTAL","DENTAL","D7830","Manipulation under anesthesia"
"Dental","1150","DENTAL","DENTAL","D7840","Condylectomy"
"Dental","1150","DENTAL","DENTAL","D7850","Surgical discectomy, with/without implant"
"Dental","1150","DENTAL","DENTAL","D7852","Disc repair"
"Dental","1150","DENTAL","DENTAL","D7854","Synovectomy"
"Dental","1150","DENTAL","DENTAL","D7856","Myotomy"
"Dental","1150","DENTAL","DENTAL","D7858","Joint reconstruction"
"Dental","1150","DENTAL","DENTAL","D7860","Arthrotomy"
"Dental","1150","DENTAL","DENTAL","D7865","Arthroplasty"
"Dental","1150","DENTAL","DENTAL","D7870","Arthrocentesis"
"Dental","1150","DENTAL","DENTAL","D7871","Non-arthroscopic lysis and lavage"
"Dental","1150","DENTAL","DENTAL","D7880","Occlusal orthotic device, by report"
"Dental","1150","DENTAL","DENTAL","D7899","Unspecified tmd therapy, by report"
"Dental","1150","DENTAL","DENTAL","D7910","Suture of recent small wounds up to 5 cm"
"Dental","1150","DENTAL","DENTAL","D7911","Complicated suture - up to 5 cm"
"Dental","1150","DENTAL","DENTAL","D7912","Complicated suture - greater than 5 cm"
"Dental","1150","DENTAL","DENTAL","D7920","Skin graft (identify defect covered, location and type of graft)"
"Dental","1150","DENTAL","DENTAL","D7921","Collection and application of autologous blood concentrate product"
"Dental","1150","DENTAL","DENTAL","D7940","Osteoplasty - for orthognathic deformities"
"Dental","1150","DENTAL","DENTAL","D7941","Osteotomy - mandibular rami"
"Dental","1150","DENTAL","DENTAL","D7943","Osteotomy - mandibular rami with bone graft; includes obtaining the graft"
"Dental","1150","DENTAL","DENTAL","D7944","Osteotomy - segmented or subapical"
"Dental","1150","DENTAL","DENTAL","D7945","Osteotomy - body of mandible"
"Dental","1150","DENTAL","DENTAL","D7946","LeFort I (maxilla - total)"
"Dental","1150","DENTAL","DENTAL","D7947","LeFort I (maxilla - segmented)"
"Dental","1150","DENTAL","DENTAL","D7948","Lefort II or lefort III (osteoplasty of facial bones for midface hypoplasia or retrusion)-without bo"
"Dental","1150","DENTAL","DENTAL","D7949","LeFort II or LeFort III - with bone graft"
"Dental","1150","DENTAL","DENTAL","D7950","Osseous, osteoperiosteal, or cartilage graft of the mandible or maxilla - autogenous or nonautogenou"
"Dental","1150","DENTAL","DENTAL","D7951","Sinus augmentation with bone or bone substitutes via a lateral open approach"
"Dental","1150","DENTAL","DENTAL","D7952","Sinus augmentation via a vertical approach"
"Dental","1150","DENTAL","DENTAL","D7953","Bone replacement graft for ridge preservation - per site"
"Dental","1150","DENTAL","DENTAL","D7955","Repair of maxillofacial soft and/or hard tissue defect"
"Dental","1150","DENTAL","DENTAL","D7960","Frenulectomy v also known as frenectomy or frenotomy v separate procedure not incidental to another"
"Dental","1150","DENTAL","DENTAL","D7963","Frenuloplasty"
"Dental","1150","DENTAL","DENTAL","D7970","Excision of hyperplastic tissue - per arch"
"Dental","1150","DENTAL","DENTAL","D7971","Excision of pericoronal gingiva"
"Dental","1150","DENTAL","DENTAL","D7972","Surgical reduction of fibrous tuberosity"
"Dental","1150","DENTAL","DENTAL","D7980","Sialolithotomy"
"Dental","1150","DENTAL","DENTAL","D7981","Excision of salivary gland, by report"
"Dental","1150","DENTAL","DENTAL","D7982","Sialodochoplasty"
"Dental","1150","DENTAL","DENTAL","D7983","Closure of salivary fistula"
"Dental","1150","DENTAL","DENTAL","D7990","Emergency tracheotomy"
"Dental","1150","DENTAL","DENTAL","D7991","Coronoidectomy"
"Dental","1150","DENTAL","DENTAL","D7995","Synthetic graft - mandible or facial bones, by report"
"Dental","1150","DENTAL","DENTAL","D7996","Implant-mandible for augmentation purposes (excluding alveolar ridge), by report"
"Dental","1150","DENTAL","DENTAL","D7997","Appliance removal (not by dentist who placed appliance), includes removal of archbar"
"Dental","1150","DENTAL","DENTAL","D7998","Intraoral placement of a fixation device not in conjunction with a fracture"
"Dental","1150","DENTAL","DENTAL","D7999","Unspecified oral surgery procedure, by report"
"Dental","1150","DENTAL","DENTAL","D8010","Limited orthodontic treatment of the primary dentition"
"Dental","1150","DENTAL","DENTAL","D8020","Limited orthodontic treatment of the transitional dentition"
"Dental","1150","DENTAL","DENTAL","D8030","Limited orthodontic treatment of the adolescent dentition"
"Dental","1150","DENTAL","DENTAL","D8040","Limited orthodontic treatment of the adult dentition"
"Dental","1150","DENTAL","DENTAL","D8050","Interceptive orthodontic treatment of the primary dentition"
"Dental","1150","DENTAL","DENTAL","D8060","Interceptive orthodontic treatment of the transitional dentition"
"Dental","1150","DENTAL","DENTAL","D8070","Comprehensive orthodontic treatment of the transitional dentition"
"Dental","1150","DENTAL","DENTAL","D8080","Comprehensive orthodontic treatment of the adolescent dentition"
"Dental","1150","DENTAL","DENTAL","D8090","Comprehensive orthodontic treatment of the adult dentition"
"Dental","1150","DENTAL","DENTAL","D8210","Removable appliance therapy"
"Dental","1150","DENTAL","DENTAL","D8220","Fixed appliance therapy"
"Dental","1150","DENTAL","DENTAL","D8660","Pre-orthodontic treatment examination to monitor growth and development"
"Dental","1150","DENTAL","DENTAL","D8670","Periodic orthodontic treatment visit"
"Dental","1150","DENTAL","DENTAL","D8680","Orthodontic retention (removal of appliances, construction and placement of retainer(s))"
"Dental","1150","DENTAL","DENTAL","D8690","Orthodontic treatment (alternative billing to a contract fee)"
"Dental","1150","DENTAL","DENTAL","D8691","Repair of orthodontic appliance"
"Dental","1150","DENTAL","DENTAL","D8692","Replacement of lost or broken retainer"
"Dental","1150","DENTAL","DENTAL","D8693","Re-cement or re-bond fixed retainer"
"Dental","1150","DENTAL","DENTAL","D8694","Repair of fixed retainers, includes reattachment"
"Dental","1150","DENTAL","DENTAL","D8999","Unspecified orthodontic procedure, by report"
"Dental","1150","DENTAL","DENTAL","D9110","Palliative (emergency) treatment of dental pain - minor procedure"
"Dental","1150","DENTAL","DENTAL","D9120","Fixed partial denture sectioning"
"Dental","1150","DENTAL","DENTAL","D9210","Local anesthesia not in conjunction with operative or surgical procedures"
"Dental","1150","DENTAL","DENTAL","D9211","Regional block anesthesia"
"Dental","1150","DENTAL","DENTAL","D9212","Trigeminal division block anesthesia"
"Dental","1150","DENTAL","DENTAL","D9215","Local anesthesia in conjunction with operative or surgical procedures"
"Dental","1150","DENTAL","DENTAL","D9219","Evaluation for deep sedation or general anesthesia"
"Dental","1150","DENTAL","DENTAL","D9220","Deep sedation/general anesthesia - first 30 minutes"
"Dental","1150","DENTAL","DENTAL","D9230","Inhalation of nitrous oxide / anxiolysis, analgesia"
"Dental","1150","DENTAL","DENTAL","D9241","Intravenous moderate (conscious) sedation/analgesia - first 30 minutes"
"Dental","1150","DENTAL","DENTAL","D9248","Non-intravenous conscious sedation"
"Dental","1150","DENTAL","DENTAL","D9310","Consultation - diagnostic service provided by dentist or physician other than requesting dentist or"
"Dental","1150","DENTAL","DENTAL","D9410","House/extended care facility call"
"Dental","1150","DENTAL","DENTAL","D9420","Hospital or ambulatory surgical center call"
"Dental","1150","DENTAL","DENTAL","D9430","Office visit for observation (during regularly scheduled hours) - no other services performed"
"Dental","1150","DENTAL","DENTAL","D9440","Office visit - after regularly scheduled hours"
"Dental","1150","DENTAL","DENTAL","D9450","Case presentation, detailed and extensive treatment planning"
"Dental","1150","DENTAL","DENTAL","D9610","Therapeutic parenteral drug, single administration"
"Dental","1150","DENTAL","DENTAL","D9612","Therapeutic parenteral drugs, two or more administrations, different medications"
"Dental","1150","DENTAL","DENTAL","D9630","Other drugs and/or medicaments, by report"
"Dental","1150","DENTAL","DENTAL","D9910","Application of desensitizing medicament"
"Dental","1150","DENTAL","DENTAL","D9911","Application of desensitizing resin for cervical and/or root surface, per tooth"
"Dental","1150","DENTAL","DENTAL","D9920","Behavior management, by report"
"Dental","1150","DENTAL","DENTAL","D9930","Treatment of complications (post-surgical) - unusual circumstances, by report"
"Dental","1150","DENTAL","DENTAL","D9931","Cleaning and inspection of a removable appliance"
"Dental","1150","DENTAL","DENTAL","D9940","Occlusal guard, by report"
"Dental","1150","DENTAL","DENTAL","D9941","Fabrication of athletic mouthguard"
"Dental","1150","DENTAL","DENTAL","D9942","Repair and/or reline of occlusal guard"
"Dental","1150","DENTAL","DENTAL","D9950","Occlusion analysis - mounted case"
"Dental","1150","DENTAL","DENTAL","D9951","Occlusal adjustment - limited"
"Dental","1150","DENTAL","DENTAL","D9952","Occlusal adjustment - complete"
"Dental","1150","DENTAL","DENTAL","D9970","Enamel microabrasion"
"Dental","1150","DENTAL","DENTAL","D9971","Odontoplasty 1 - 2 teeth; includes removal of enamel projections"
"Dental","1150","DENTAL","DENTAL","D9972","External bleaching - per arch - performed in office"
"Dental","1150","DENTAL","DENTAL","D9973","External bleaching - per tooth"
"Dental","1150","DENTAL","DENTAL","D9974","Internal bleaching - per tooth"
"Dental","1150","DENTAL","DENTAL","D9975","External bleaching for home application, per arch; includes materials and fabrication of custom tray"
"Dental","1150","DENTAL","DENTAL","D9985","Sales tax"
"Dental","1150","DENTAL","DENTAL","D9986","Missed appointment"
"Dental","1150","DENTAL","DENTAL","D9987","Cancelled appointment"
"Dental","1150","DENTAL","DENTAL","D9999","Unspecified adjunctive procedure, by report"
"Dental - additional","1155","ADDITIONAL","DENTAL","D0230","Intraoral - periapical each additional radiographic image"
"Dental - additional","1155","ADDITIONAL","DENTAL","D0260","Extraoral - each additional radiographic image"
"Dental - additional","1155","ADDITIONAL","DENTAL","D2953","Each additional indirectly fabricated post - same tooth"
"Dental - additional","1155","ADDITIONAL","DENTAL","D2957","Each additional prefabricated post - same tooth"
"Dental - additional","1155","ADDITIONAL","DENTAL","D2971","Additional procedures to construct new crown under existing partial denture framework"
"Dental - additional","1155","ADDITIONAL","DENTAL","D3426","Apicoectomy (each additional root)"
"Dental - additional","1155","ADDITIONAL","DENTAL","D3429","Bone graft in conjunction with periradicular surgery; each additional contiguous tooth in the same s"
"Dental - additional","1155","ADDITIONAL","DENTAL","D4264","Bone replacement graft - each additional site in quadrant"
"Dental - additional","1155","ADDITIONAL","DENTAL","D4278","Free soft tissue graft procedure (including donor site surgery), each additional contiguous tooth or"
"Dental - additional","1155","ADDITIONAL","DENTAL","D5650","Add tooth to existing partial denture"
"Dental - additional","1155","ADDITIONAL","DENTAL","D5660","Add clasp to existing partial denture"
"Dental - additional","1155","ADDITIONAL","DENTAL","D6976","Each ADDL indirectly fabricated post-same tooth"
"Dental - additional","1155","ADDITIONAL","DENTAL","D6977","Each additional prefabricated post-same tooth"
"Dental - additional","1155","ADDITIONAL","DENTAL","D9221","Deep sedation/general anesthesia - each additional 15 minutes"
"Dental - additional","1155","ADDITIONAL","DENTAL","D9242","Intravenous moderate (conscious) sedation/analgesia - each additional 15 minutes"
"Dermatology procedures","1160","MEDIC THER","DERMATOLOGY","96900","ACTINOTHERAPY ULTRAVIOLET LIGHT"
"Dermatology procedures","1160","MEDIC THER","DERMATOLOGY","96902","MCRSCP XM HAIR PLUCK/CLIP FOR CNTS/STRUCT ABNORM"
"Dermatology procedures","1160","MEDIC THER","DERMATOLOGY","96904","WHOLE BODY INTEGUMENTARY PHOTOGRAPHY"
"Dermatology procedures","1160","MEDIC THER","DERMATOLOGY","96910","PHOTOCHEMOTX TAR&UVB/PETROLATUM/UVB"
"Dermatology procedures","1160","MEDIC THER","DERMATOLOGY","96912","PHOTOCHEMOTX PSORALENS&ULTRAVIOLET PUVA"
"Dermatology procedures","1160","MEDIC THER","DERMATOLOGY","96913","PHOTOCHEMOTHERAPY DERMATOSES 4-8 HRS SUPERVISION"
"Dermatology procedures","1160","MEDIC THER","DERMATOLOGY","96920","LASER SKIN DISEASE PSORIASIS TOT AREA <250 SQ CM"
"Dermatology procedures","1160","MEDIC THER","DERMATOLOGY","96921","LASER SKIN DISEASE PSORIASIS 250-500 SQ CM"
"Dermatology procedures","1160","MEDIC THER","DERMATOLOGY","96922","LASER SKIN DISEASE PSORIASIS >500 SQ CM"
"Dermatology procedures","1160","MEDIC THER","DERMATOLOGY","96999","UNLISTED SPECIAL DERMATOLOGICAL SERVICE/PROCED"
"Destruction anal lesion/hemorrhoid","1165","SURG MINOR","COLORECTAL","0249T","LIGATION HEMORRHOID BUNDLE W/US"
"Destruction anal lesion/hemorrhoid","1165","SURG MINOR","COLORECTAL","46900","DSTRJ LESION ANUS SIMPLE CHEMICAL"
"Destruction anal lesion/hemorrhoid","1165","SURG MINOR","COLORECTAL","46910","DSTRJ LESION ANUS SMPL ELTRDSICCATION"
"Destruction anal lesion/hemorrhoid","1165","SURG MINOR","COLORECTAL","46916","DSTRJ LESION ANUS SIMPLE CRYOSURGERY"
"Destruction anal lesion/hemorrhoid","1165","SURG MINOR","COLORECTAL","46917","DSTRJ LESION ANUS SIMPLE LASER SURG"
"Destruction anal lesion/hemorrhoid","1165","SURG MINOR","COLORECTAL","46922","DSTRJ LESION ANUS SIMPLE SURG EXCISION"
"Destruction anal lesion/hemorrhoid","1165","SURG MINOR","COLORECTAL","46924","DSTRJ LESION ANUS EXTENSIVE"
"Destruction anal lesion/hemorrhoid","1165","SURG MINOR","COLORECTAL","46937","CRYOSURG RCT TUM B9"
"Destruction anal lesion/hemorrhoid","1165","SURG MINOR","COLORECTAL","46938","CRYOSURG RCT TUM MAL"
"Destruction anal lesion/hemorrhoid","1165","SURG MINOR","COLORECTAL","46999","UNLISTED PROCEDURE ANUS"
"Destruction benign or premalignant","1170","SURG MINOR","PODIATRY","17250","CHEMICAL CAUTERIZATION GRANULATION TISSUE"
"Destruction of lesion","1175","SURG MINOR","DERMATOLOGY","17000","DESTRUCTION PREMALIGNANT LESION 1ST"
"Destruction of lesion","1175","SURG MINOR","DERMATOLOGY","54056","DSTRJ LESION PENIS SIMPLE CRYOSURGERY"
"Destruction of lesion - additional","1180","ADDITIONAL","DERMATOLOGY","17003","DESTRUCTION PREMALIGNANT LESION 2-14 EA"
"Destruction of lesion - additional","1180","ADDITIONAL","DERMATOLOGY","17004","DESTRUCTION PREMALIGNANT LESION 15/>"
"Destruction of warts","1185","SURG MINOR","DERMATOLOGY","17110","DESTRUCTION BENIGN LESIONS UP TO 14"
"Destruction of warts","1185","SURG MINOR","DERMATOLOGY","17111","DESTRUCTION BENIGN LESIONS 15/>"
"Destruction, cutaneous vascular lesions","1190","SURG MINOR","DERMATOLOGY","17106","DESTRUCTION CUTANEOUS VASC PROLIFERATIVE <10CM"
"Destruction, cutaneous vascular lesions","1190","SURG MINOR","DERMATOLOGY","17107","DSTRJ CUTANEOUS VASCULAR LESIONS 10.0-50.0 SQ CM"
"Destruction, cutaneous vascular lesions","1190","SURG MINOR","DERMATOLOGY","17108","DSTRJ CUTANEOUS VASCULAR LESIONS >50.0 SQ CM"
"Diagnostic radiopharmaceutical","1195","NUCLEAR","CARDIOLOGY","78990","PROVISION, DX RADIOPHARMACEUTICAL(S)"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","0090T","TOT DISC ARTHRP ANT APPR DSKC 1 NTRSPC CRV"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","0091T","TOT DISC ARTHRP ANT APPR DSKC 1 NTRSPC LMBR"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","0093T","RMVL TOT DISC ARTHRP ANT APPR 1 NTRSPC CRV"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","0094T","RMVL TOT DISC ARTHRP ANT APPR 1 NTRSPC LMBR"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","0096T","REVJ TOT DISC ARTHRP ANT APPR 1 NTRSPC CRV"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","0097T","REVJ TOT DISC ARTHRP ANT APPR 1 NTRSPC LMBR"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","0202T","POST VERT ARTHRPLSTY W/WO BONE CEMENT 1 LUMB LVL"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","0375T","TOTAL DISC ARTHRP ANT APPR W/DISCECTOMY CRV 3+"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","22856","TOT DISC ARTHRP ART DISC ANT APPRO 1 NTRSPC CRV"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","22857","TOT DISC ARTHRP ART DISC ANT APPRO 1 NTRSPC LMBR"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","22861","REVJ RPLCMT DISC ARTHROPLASTY ANT 1 NTRSPC CRV"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","22862","REVJ RPLCMT DISC ARTHROPLASTY ANT 1 NTRSPC LMBR"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","22864","RMVL DISC ARTHROPLASTY ANT 1 INTERSPACE CERVICAL"
"Disc arthroplasty","1200","SURG MAJOR","ORTHO","22865","RMVL DISC ARTHROPLASTY ANT 1 INTERSPACE LUMBAR"
"Disc arthroplasty - additional","1205","ADDITIONAL","ORTHO","0092T","TOT DISC ARTHRP ANT APPR DSKC PREP CRV EA NTRSPC"
"Disc arthroplasty - additional","1205","ADDITIONAL","ORTHO","0095T","RMVL TOT DISC ARTHRP ANT APPR CRV EA NTRSPC"
"Disc arthroplasty - additional","1205","ADDITIONAL","ORTHO","0098T","REVJ TOT DISC ARTHRP ANT APPR CRV EA NTRSPC"
"Disc arthroplasty - additional","1205","ADDITIONAL","ORTHO","0163T","TOT DISC ARTHRP ANT APPR DSKC PREP LMBR EA"
"Disc arthroplasty - additional","1205","ADDITIONAL","ORTHO","0164T","RMVL TOT DISC ARTHRP ANT APPR LMBR EA NTRSPC"
"Disc arthroplasty - additional","1205","ADDITIONAL","ORTHO","0165T","REVJ TOT DISC ARTHRP ANT APPR LMBR EA NTRSPC"
"Disc arthroplasty - additional","1205","ADDITIONAL","ORTHO","22858","TOT DISC ARTHRP ANT APPR DISC 2ND LEVEL CERVICAL"
"Diskectomy","1210","SURG MAJOR","NEUROSURGERY","63075","DISCECTOMY ANT DCMPRN CORD CERVICAL 1 NTRSPC"
"Diskectomy","1210","SURG MAJOR","NEUROSURGERY","63077","DISCECTOMY ANT DCMPRN CORD THORACIC 1 NTRSPC"
"Diskectomy","1210","SURG MAJOR","NEUROSURGERY","S2350","Anterior lumbar diskectomy, single interspace"
"Diskectomy - additional","1215","ADDITIONAL","NEUROSURGERY","63076","DISCECTOMY ANT DCMPRN CORD CERVICAL EA NTRSPC"
"Diskectomy - additional","1215","ADDITIONAL","NEUROSURGERY","63078","DISCECTOMY ANT DCMPRN CORD THORACIC EA NTRSPC"
"Diskectomy - additional","1215","ADDITIONAL","NEUROSURGERY","S2351","Anterior lumbar diskectomy, ea ADDL interspace"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99321","REST HOME VISIT, NEW PT 3 KEY COMPONENTS: PROB FOCUS HX; PROB FOCUS EXAM;MED DEC STRTFWD/LOW COMPLEX"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99322","REST HOME VISIT,NEW PT 3 KEY COMPONENTS:EXPAND PROB FOCUS HX;EXPAND PROB FOCUS EXAM;MED DEC MOD COMP"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99323","REST HOME VISIT, NEW PT 3 KEY COMPONENTS: DETAILED HX; DETAILED EXAM; MED DECISION HIGH COMPLEX"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99324","DOMICIL/REST HOME NEW PT VISIT LOW SEVER 20 MIN"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99325","DOMICIL/REST HOME NEW PT VISIT MOD SEVER 30 MIN"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99326","DOMICIL/REST HOME NEW PT HI-MOD SEVER 45 MINUTES"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99327","DOMICIL/REST HOME NEW PT VISIT HI SEVER 60 MIN"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99328","DOM/R-HOME E/M NEW PT SIGNIF NEW PROB 75 MINUTES"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99331","REST HOME VISIT,EST PT 3 KEY COMPONENTS:PROB FOCUS INT HX;PROB FOCUS EXAM;MED DEC STRTFWD/LOW COMPLX"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99332","REST HOME VISIT, EST PT 3 KEY COMPONENTS: EXPND PROB INTRVL HX; EXPND PROB EXAM; MED DEC MOD COMPLX"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99333","REST HOME VISIT, EST PT 3 KEY COMPONENTS: DETAILED INTRVL HX; DETAILED EXAM; MED DECISN HIGH COMPLEX"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99334","DOM/R-HOME E/M EST PT SELF-LMTD/MINOR 15 MINUTES"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99335","DOM/R-HOME E/M EST PT LW MOD SEVERITY 25 MINUTES"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99336","DOM/R-HOME E/M EST PT MOD HI SEVERITY 40 MINUTES"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99337","DOM/R-HOME E/M EST PT SIGNIF NEW PROB 60 MINUTES"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99339","INDIV PHYS SUPVJ HOME/DOM/R-HOME MO 15-29 MIN"
"Domiciliary/rest home care","1220","INPAT E/M","MEDICINE","99340","INDIV PHYS SUPVJ HOME/DOM/R-HOME MO 30 MIN/>"
"Drainage peritoneal abscess","1225","SURG MAJOR","GEN SURG","49020","DRAINAGE PERITON ABSCESS/LOCAL PERITONITIS OPEN"
"Drainage peritoneal abscess, percutaneous","1230","INVAS MAJOR","DIAG RAD","49021","DRG PERITONEAL ABSCESS/LOCAL PERITONITIS PRQ"
"Drainage peritoneal abscess, percutaneous","1230","INVAS MAJOR","DIAG RAD","49061","DRG RETROPERITONEAL ABSCESS PERCUTANEOUS"
"Drainage peritoneal abscess, percutaneous","1230","INVAS MAJOR","DIAG RAD","49405","IMAGE-GUIDE FLUID COLLXN DRAINAGE CATH VISC PERQ"
"Drainage peritoneal abscess, percutaneous","1230","INVAS MAJOR","DIAG RAD","49406","IMG-GUIDE FLUID COLLXN DRAINAG CATH PERITON PERQ"
"Drainage peritoneal abscess, percutaneous","1230","INVAS MAJOR","DIAG RAD","49407","IMAGE FLUID COLLXN DRAINAG CATH TRANSREC/VAGINAL"
"Dressing/debridement, burns","1235","SURG MINOR","GEN SURG","16010","DRESSINGS &/OR DEBRIDEMENT, INITIAL/SUBSEQUENT; UNDER ANESTHESIA, SMALL"
"Dressing/debridement, burns","1235","SURG MINOR","GEN SURG","16015","DRESSINGS &/OR DEBRIDEMENT, INITIAL/SUBSEQUENT; UNDER ANESTHESIA, MEDIUM/LARGE/MAJOR DEBRIDEMENT"
"Dressing/debridement, burns","1235","SURG MINOR","GEN SURG","16020","DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ SMALL"
"Dressing/debridement, burns","1235","SURG MINOR","GEN SURG","16025","DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ MEDIUM"
"Dressing/debridement, burns","1235","SURG MINOR","GEN SURG","16030","DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ LARGE"
"Dressing/debridement, burns","1235","SURG MINOR","GEN SURG","16035","ESCHAROTOMY FIRST INCISION"
"Dressing/debridement, burns - additional","1240","ADDITIONAL","GEN SURG","16036","ESCHAROTOMY EACH ADDITIONAL INCISION"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0100","Cane, adjustable or fixed, with tip"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0105","Cane, quad or 3 prong, adjust or fixed, w tips"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0110","Crutches, forearm, pair"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0111","Crutch forearm, each"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0112","Crutch underarm, wood, pair"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0113","Crutch underarm, wood, each"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0114","Crutches underarm, other than wood, pair"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0116","Crutch underarm, other than wood, each"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0117","Articulating spring assisted underarm crutch, ea"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0118","Crutch substitute, lower leg platform, each"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0130","Walker, rigid (pickup), adjustable or fixed"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0135","Walker, folding (pickup), adjustable or fixed"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0140","Walker, with trunk support, any type"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0141","Walker, rigid, wheeled, adjustable or fixed"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0142","Rigid walker, wheeled, with seat"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0143","Walker, folding, wheeled, adjustable or fixed"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0144","Walker, enclosed, wheeled w posterior seat"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0145","Walker, wheeled, with seat&crutch attachments"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0146","Folding walker, wheeled, with seat"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0147","Heavy duty walker, mult braking syst/variable"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0148","Heavy duty walker, s wheels, rigid/folding, ea"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0149","Heavy duty wheeled walker, rigid/folding, any"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0153","Platform attachment, forearm crutch, each"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0154","Platform attachment, walker, each"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0155","Rigid pick-up walker wheel attachment per pair"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0156","Seat attachment, walker"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0157","Crutch attachment, walker, each"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0158","Walker leg extensions per set of 4"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0159","Replacement brake attachment for wheeled walker"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0160","Sitz type bath or equipment, portable"
"Durable Medical Equipment","1245","SUPPLIES","SUPPLIES","E0161","Sitz bath/equipment, with faucet attachments"
